,actively_hiring,Type_of_internship,company_name,location,stipend,duration
0,1.0,Sales & Marketing,Paru Creations,Faridabad,"₹ 5,000 /month",3 Months
1,1.0,Fundraising,Odisha Development Management Programme (ODMP),Work From Home,"₹ 225-5,000 /week",1 Week
2,1.0,Digital Marketing,Tare Zameen Foundation,Work From Home,Unpaid,6 Months
3,1.0,General Management (Founders' Office),Elation Edtech Private Limited (Tinkerly),Jaipur,"₹ 5,000-7,500 /month",3 Months
4,1.0,Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Unpaid,1 Month
5,1.0,Graphic Design,Rely Service,Work From Home,"₹ 3,000-5,000 /month",3 Months
6,1.0,C# .NET Development,Troywings Technologies,Work From Home,"₹ 2,000 /month",6 Months
7,1.0,Video Editing & Design,GlobalFair Impex,Bangarapet,"₹ 10,000 /month",6 Months
8,1.0,Customer Support,StudyMonk,Work From Home,"₹ 2,000 /month",3 Months
9,1.0,Content Editing,Blacksof,Work From Home,"₹ 3,000 /month +  Incentives",3 Months
10,1.0,Marketing And Finance,Mahindra First Choice Wheels Limited,Gurgaon,"₹ 5,000-10,000 /month",2 Months
11,1.0,Client Success,ODN Digital Services Private Limited,Delhi,"₹ 10,000 /month",3 Months
12,1.0,Copywriting,Ladder Media,Work From Home,"₹ 10,000-15,000 /month",6 Months
13,1.0,Customer Service,Ayurveda House Private Limited,Delhi,"₹ 10,000-12,000 /month",3 Months
14,1.0,Photography,Ayurveda House Private Limited,Delhi,"₹ 5,000-8,000 /month",3 Months
15,1.0,Product Marketing,The Leather Warehouse,Delhi,"₹ 2,500 /month +  Incentives",3 Months
16,1.0,Red Hat Training,Digi Grow Hub Education,Bangalore,"₹ 3,000 /month",3 Months
17,1.0,Foreign Exchange Market,B B Advisory,Bangalore,"₹ 2,000-40,000 /month",2 Months
18,1.0,Business Development (Sales),Rentkar-Switch To Share,Mumbai,"₹ 14,000-16,000 /month",3 Months
19,1.0,iOS App Development,StudyMonk,Work From Home,"₹ 15,000-20,000 /month",3 Months
20,1.0,Intellectual Property Law,Technotreon Intellectual Ventures,Pune,"₹ 5,000 /month",1 Month
21,1.0,Web Development,Rentkar-Switch To Share,Mumbai,"₹ 12,000-12,500 /month",3 Months
22,1.0,Project Assistant (Management/Logistics),QuadB Tech,Work From Home,"₹ 5,000 /month",4 Months
23,1.0,Videography,The Souled Store,Mumbai,"₹ 10,000 /month",3 Months
24,1.0,Photography,The Souled Store,Mumbai,"₹ 10,000 /month",3 Months
25,1.0,Direction Assistance (Female),Purani Dili Talkies LLP,Delhi,"₹ 7,500 /month",6 Months
26,1.0,Football Community Management,Litifer,Work From Home,"₹ 8,000-10,000 /month",5 Months
27,1.0,Accounting & Taxation,Sri Consulting,Bangalore,"₹ 10,000 /month",3 Months
28,1.0,Editing,Purani Dili Talkies LLP,Delhi,"₹ 7,500 /month",6 Months
29,1.0,Script Writing (Fiction),Purani Dili Talkies LLP,Delhi,"₹ 7,500 /month",6 Months
30,1.0,Script Writing (Non-Fiction),Purani Dili Talkies LLP,Delhi,"₹ 7,500 /month",6 Months
31,1.0,Subtitle Writing,Purani Dili Talkies LLP,Delhi,"₹ 7,500 /month",6 Months
32,1.0,Human Resources (HR),KRS Educreations Private Limited,Ghaziabad,"₹ 5,000-8,000 /month",3 Months
33,1.0,Operations (Customer Support),YourDOST Health Solutions,Bangalore,"₹ 12,000-18,000 /month",6 Months
34,1.0,Customer Success,YourDOST Health Solutions,Bangalore,"₹ 12,000-18,000 /month",6 Months
35,1.0,Academic Counselling,Immensphere,Anantapur,"₹ 15,000 /month +  Incentives",4 Months
36,1.0,Marketing,SkillVertex,Kollam,"₹ 3,500 /month",1 Month
37,1.0,Social Media Marketing,Varsha Garodia,Mumbai,"₹ 8,000-15,000 /month",2 Months
38,1.0,Marketing & Sales,Build With Innovation Private Limited,Delhi,"₹ 10,000 /month +  Incentives",6 Months
39,1.0,Events & Anchoring Management,Engineer's Cradle,Work From Home,"₹ 2,500 /month",6 Months
40,1.0,AWS Development,Paathshala Spark,Work From Home,"₹ 1,000-2,000 /month",1 Month
41,1.0,Field Research,ShowTime Consulting Firm,Thane,"₹ 25,000 /month",4 Months
42,1.0,Marketing,Workhall Private Limited,Chennai,"₹ 15,000 /month",6 Months
43,1.0,Sales & Marketing,Sukshma Dhrashta,Bangalore,"₹ 10,000 /month +  Incentives",3 Months
44,1.0,Digital Marketing,Sukshma Dhrashta,Bangalore,"₹ 7,000-8,000 /month",3 Months
45,1.0,Search Engine Optimization (SEO),Total Dental Care Private Limited (Sabka Dentist),Mumbai,"₹ 15,000 /month",6 Months
46,1.0,IT Testing,WhizJuniors,Work From Home,"₹ 8,000 /month",6 Months
47,1.0,Media & Public Relations (PR),Ep.Log Media,Mumbai,"₹ 7,000-9,000 /month",3 Months
48,1.0,Big Data,StudyMonk,Work From Home,"₹ 15,000-20,000 /month",2 Months
49,1.0,Business Development (Sales),Stirring Minds,Delhi,"₹ 5,000-12,000 /month",6 Months
50,1.0,Teaching,Digi Grow Hub Education,Pune,"₹ 3,000 /month",3 Months
51,1.0,"Soft Skills, Spoken English & Communication Public Speaking Training",Digi Grow Hub Education,Pune,"₹ 3,000 /month",3 Months
52,1.0,Photography,Kabes Media,Bangalore,"₹ 10,000 /month",4 Months
53,1.0,Node.js Development,StudyMonk,Work From Home,"₹ 10,000-15,000 /month",6 Months
54,1.0,ReactJS Development,StudyMonk,Work From Home,"₹ 10,000-15,000 /month",3 Months
55,1.0,Gaming Illustration,MB Softech Consultants,Work From Home,"₹ 5,000-15,000 /month",1 Month
56,1.0,Full Stack Development (React Amplify),Paathshala Spark,Work From Home,"₹ 1,000-10,000 /month",1 Month
57,1.0,Chain Marketing,SkillVertex,Work From Home,"₹ 2,500 /month",1 Month
58,1.0,Buddy Counseling (Study Abroad),UniAcco,Mumbai,"₹ 25,000 /month",6 Months
59,1.0,Teaching Volunteering,Adore Earth,Work From Home,Unpaid,3 Months
60,1.0,Inside Sales,ClearTax,Bangalore,"₹ 15,000 /month",3 Months
61,1.0,Merchandising,Everstylish Lifestyle Private Limited,Gurgaon,"₹ 15,000 /month",3 Months
62,1.0,Product Management,Eccentric,Mumbai,"₹ 18,000 /month",6 Months
63,1.0,Content Writing,Relinns Technologies,Chandigarh,"₹ 8,000 /month",6 Months
64,1.0,Graphics & Video Editing,Engineer's Cradle,Pune,"₹ 5,000 /month",6 Months
65,1.0,Human Resources (HR),Metrolabs Services Private Limited,Pune,"₹ 5,000-10,000 /month",3 Months
66,1.0,Collaboration,SkillVertex,Kollam,"₹ 3,500 /month",1 Month
67,1.0,Human Resources (HR),Gloify,Bangalore,"₹ 8,000 /month",4 Months
68,1.0,Graphic Design,ODN Digital Services Private Limited,Delhi,"₹ 10,000 /month",3 Months
69,1.0,Business Development (Sales),9Heaven,Delhi,"₹ 3,000 /month",3 Months
70,1.0,Graphic Design,Build With Innovation Private Limited,Delhi,"₹ 10,000 /month +  Incentives",6 Months
71,1.0,Interior Design,G2Design Interior,Pune,"₹ 6,500 /month",6 Months
72,1.0,Chartered Accountancy (CA) Articleship,Pro India,Delhi,"₹ 5,000 /month",6 Months
73,1.0,QA Testing,DigiPlus IT,Mumbai,"₹ 10,000 /month",5 Months
74,1.0,Content Writing,OpeninApp,Bangalore,"₹ 15,000-25,000 /month",4 Months
75,1.0,Content Editing,Blacksof,Work From Home,"₹ 1,000 /month +  Incentives",3 Months
76,1.0,Game Development,Antino Labs Private Limited,Gurgaon,"₹ 15,000 /month",6 Months
77,1.0,Inside Sales - For Tax Season,ClearTax,Bangalore,"₹ 15,000 /month +  Incentives",3 Months
78,1.0,Captioning,Blacksof,Work From Home,"₹ 1,000 /month +  Incentives",3 Months
79,1.0,Marketing,Amisys Software,Ahmedabad,"₹ 6,000 /month +  Incentives",6 Months
80,1.0,Banking & Finance,Focsurance,Mumbai,"₹ 3,000 /month +  Incentives",3 Months
81,1.0,Content Writing,OtakuKart,Work From Home,"₹ 5,000 /month",3 Months
82,1.0,Subject Matter Expert (Basic Mathematics),Innovalance Learning Systems,Work From Home,"₹ 8,000-10,000 /month",3 Months
83,1.0,Video Making/Editing,Kabes Media,Bangalore,"₹ 10,000 /month",3 Months
84,1.0,Marketing,TheHealthMechanix,Delhi,"₹ 5,000-8,000 /month",3 Months
85,1.0,Marketing,Zupain Tech Private Limited,Chennai,"₹ 10,000 /month",3 Months
86,1.0,Client Success,Sharedpro,Vadodara,"₹ 10,000 /month",3 Months
87,1.0,Content Writing,Careers360,Hyderabad,"₹ 15,000 /month",6 Months
88,1.0,Social Media Marketing,Akrati Jewels Incorporation,Jaipur,"₹ 10,000 /month",5 Months
89,1.0,Business Development (Sales),Kabes Media,Bangalore,"₹ 10,000 /month",3 Months
90,1.0,Editorial,Eupheus Learning,Delhi,"₹ 10,000 /month",1 Month
91,1.0,Marketing,Learning Curve,Gurgaon,"₹ 20,000 /month +  Incentives",2 Months
92,1.0,Human Resources (HR),Rebel Foods Private Limited,Kolkata,"₹ 14,000 /month",6 Months
93,1.0,Mechanical  Engineering,Pro India,Delhi,"₹ 8,000 /month",6 Months
94,1.0,Brand Promotion,SkillVertex,Bhimavaram,"₹ 3,500 /month",2 Months
95,1.0,Subject Matter Expert (SME) - Statistics,ProBrain,Work From Home,"₹ 5,000-10,000 /month",3 Months
96,1.0,Photography,Mayartha Productions,Bangalore,"₹ 7,000 /month",3 Months
97,1.0,Content Development (MERN Stack),Coding Ninjas,Gurgaon,"₹ 30,000-40,000 /month",3 Months
98,1.0,Content Writing,Careers360,Delhi,"₹ 25,000 /month",6 Months
99,1.0,Business Development (Sales),Ostello India Private Limited,Work From Home,"₹ 4,000-7,000 /month",3 Months
100,1.0,Business Development,IncubXperts TechnoConsulting Private Limited,Pune,"₹ 7,000 /month",3 Months
101,1.0,Content Writing,Carbon Bae,Kochi,"₹ 15,000 /month",3 Months
102,1.0,Website Design,Netgains,Mohali,"₹ 12,000-16,000 /month",6 Months
103,1.0,Electronics Engineering,Wikasta Business And Technical Solutions Private Limited,Work From Home,"₹ 2,000 /month",1 Month
104,1.0,Sales,PVR Limited,Gurgaon,"₹ 15,000 /month",3 Months
105,1.0,Reels/Short Video Editing,Team Car Delight,Work From Home,"₹ 4,500-8,000 /month",6 Months
106,1.0,Business Development (Sales),Tealbox Digital,Work From Home,"₹ 8,000 /month",3 Months
107,1.0,Software Testing,Wikasta Business And Technical Solutions Private Limited,Work From Home,"₹ 2,000-4,000 /month",1 Month
108,1.0,Human Resources (HR),Gainers Realtors LLP,Gurgaon,"₹ 5,000-10,000 /month",3 Months
109,1.0,Business Development (Sales),OyeLabs,Work From Home,"₹ 10,000-20,000 /month",6 Months
110,1.0,Business Growth,HiKEY,Work From Home,"₹ 6,000 /month +  Incentives",6 Months
111,1.0,IT Sales,Gloify,Varanasi,"₹ 4,000 /month",4 Months
112,1.0,Digital Marketing,Gloify,Varanasi,"₹ 4,000 /month",5 Months
113,1.0,Community Building,Whale Watcher,Work From Home,"₹ 9,999 lump sum +  Incentives",3 Months
114,1.0,Civil Engineering,Wikasta Business And Technical Solutions Private Limited,Work From Home,"₹ 2,000 /month",1 Month
115,1.0,Field Sales,Wudbox,Hyderabad,"₹ 10,000 /month",3 Months
116,1.0,Podcast Production,Ep.Log Media,Mumbai,"₹ 7,000-9,000 /month",3 Months
117,1.0,Food Technology,PatilKaki,Mumbai,"₹ 9,000 /month",3 Months
118,1.0,Adobe Photoshop Editing,Dashtoon,Bangalore,"₹ 10,000 /month",3 Months
119,1.0,Weekend Game Hosting,Breakout,Bangalore,"₹ 3,000-5,000 /month",6 Months
120,1.0,Production & Procurement,Minkash Nxtgen,Pune,"₹ 7,000 /month +  Incentives",2 Months
121,1.0,Copywriting,ODN Digital Services Private Limited,Delhi,"₹ 10,000 /month",3 Months
122,1.0,Content Writing,Veave Technologies Private Limited,Bangalore,"₹ 5,000 /month",3 Months
123,1.0,Python Backend Engineer (Django) (For 2023  Graduates Only),Primenumbers Technologies,Work From Home,"₹ 20,000 /month",6 Months
124,1.0,Business Development,EkoSight Technologies Private Limited,Delhi,"₹ 20,000-25,000 /month",6 Months
125,1.0,Client Relationship Management,Firscousre,Hyderabad,"₹ 7,500 /month",3 Months
126,1.0,Java Development & Training,Digi Grow Hub Education,Pune,"₹ 2,000 /month",2 Months
127,1.0,Social Media Marketing,PLY POINT,Pune,"₹ 9,000-14,000 /month",6 Months
128,1.0,Finance,B B Advisory,Bangalore,"₹ 2,000-8,000 /month",2 Months
129,1.0,Investment Analysis (Capital Market),B B Advisory,Bangalore,"₹ 2,000-8,000 /month",2 Months
130,1.0,Legal Intern,Aam Aadmi Party,Delhi,Unpaid,3 Months
131,1.0,Multi-Dimensional Social Impact,NayePankh Foundation,Work From Home,Unpaid,4 Weeks
132,1.0,Integrated Social Sector Experience,NayePankh Foundation,Work From Home,Unpaid,4 Weeks
133,1.0,Dynamic Social Sector Learning,NayePankh Foundation,Work From Home,Unpaid,4 Weeks
134,1.0,Non-Profit Sector Exploration,NayePankh Foundation,Work From Home,Unpaid,4 Weeks
