department,student_program,company_requirements,project
Engineering,Computer Engineering,Experience in FPGA development required. Familiarity with Verilog and VHDL preferred.,Development of a real-time image processing system for autonomous vehicles.
Law,Law,Strong legal research and analytical skills required. Familiarity with case law databases preferred.,Creation of a legal case outcome prediction tool for public defenders' offices.
Business,Accounting,Understanding of financial statement analysis required. Proficiency in accounting software preferred.,Development of a financial performance benchmarking tool for small businesses.
Engineering,Hardware Engineering,Experience in embedded systems design required. Familiarity with ARM architecture preferred.,Creation of a wearable health monitoring device for elderly care.
Law,Law,Strong oral advocacy and negotiation skills required. Familiarity with legal case management software preferred.,Development of an online platform for dispute resolution and mediation services for family law cases.
Business,Accounting,Knowledge of cost accounting principles required. Proficiency in cost management software preferred.,Creation of a cost analysis and optimization tool for manufacturing companies.
Engineering,Software Engineering,Proficiency in mobile app development required. Familiarity with iOS and Android platforms preferred.,Creation of a mobile-based personal finance management application for young adults.
Law,Law,Strong legal writing and drafting skills required. Familiarity with legal research databases preferred.,Development of a legal document review and analysis tool for immigration law firms.
Business,Accounting,Understanding of corporate governance principles required. Proficiency in compliance management software preferred.,Creation of a corporate governance compliance assessment tool for private corporations.
Engineering,Computer Engineering,Experience in wireless sensor networks required. Familiarity with data fusion algorithms preferred.,Creation of a wireless sensor network for environmental monitoring and disaster management.
Law,Law,Excellent legal writing and research skills required. Familiarity with e-filing systems preferred.,Development of an online legal case tracking and management system for public defenders' offices.
Business,Accounting,Knowledge of sustainability reporting standards required. Proficiency in sustainability performance software preferred.,Creation of a sustainability performance measurement tool for environmental conservation organizations.
Engineering,Hardware Engineering,Experience in digital signal processing required. Familiarity with microcontroller programming preferred.,Development of a portable environmental monitoring device for outdoor recreational activities.
Law,Law,Strong critical thinking and analysis skills required. Familiarity with case law databases preferred.,Creation of a legal case analytics and prediction tool for immigration law firms.
Business,Accounting,Understanding of business valuation principles required. Proficiency in valuation modeling software preferred.,Development of a business valuation and performance benchmarking tool for startup enterprises.
Engineering,Software Engineering,Proficiency in cloud-based application development required. Familiarity with DevOps principles preferred.,Creation of a cloud-based collaborative coding environment for educational institutions.
Law,Law,Strong legal research and investigative skills required. Familiarity with legal case management software preferred.,Development of an online legal document drafting tool for public interest law firms.
Business,Accounting,Knowledge of internal control principles required. Proficiency in internal audit management software preferred.,Creation of an internal control assessment and monitoring tool for nonprofit organizations.
Engineering,Hardware Engineering,Experience in analog and mixed-signal circuit design required. Familiarity with PCB layout design preferred.,Development of an assistive robotic device for elderly individuals living alone.
Law,Law,Excellent oral advocacy and negotiation skills required. Familiarity with legal case management software preferred.,Creation of an online platform for dispute resolution and mediation services for civil law cases.
Business,Accounting,Understanding of corporate tax planning principles required. Proficiency in tax compliance software preferred.,Development of a corporate tax planning and compliance tool for small businesses.
Engineering,Computer Engineering,Experience in real-time operating systems and embedded software required. Familiarity with wireless communication protocols preferred.,Creation of an IoT-based smart home automation system for energy conservation.
Law,Law,Strong legal research and writing skills required. Familiarity with case analysis tools preferred.,Development of a legal research and case precedent analysis tool for immigration law offices.
Business,Accounting,Knowledge of financial risk management principles required. Proficiency in risk assessment software preferred.,Creation of a financial risk analysis and mitigation tool for nonprofit organizations.
Engineering,Software Engineering,Proficiency in web application development required. Familiarity with API integration principles preferred.,Creation of an online platform for collaborative software development and project management for open source projects.
Law,Law,Strong presentation and advocacy skills required. Familiarity with legal document management software preferred.,Development of an online legal resource center for public access to immigration law information.
Engineering,Computer Engineering,Proficiency in digital signal processing required. Familiarity with MATLAB and Python preferred.,Development of a real-time gesture recognition system for human-computer interaction.
