description,study_program
Build a machine learning model to predict house prices using Python and scikit-learn.,Computer Science
"Create a personal portfolio website using React, complete with a blog and a contact form.",Web Development
Developed a machine learning model in Python with scikit-learn to accurately predict house prices based on historical data.,Computer Science
"Created a comprehensive personal portfolio website using React, featuring a blog and a contact form for direct communication.",Web Development
"Developed a user-friendly fitness tracking mobile app for Android using Kotlin, enabling users to monitor their health effectively.",Computer Engineering
"Designed a fresh and appealing company logo and branding materials using Adobe Illustrator, enhancing the company's visual identity.",Graphic Design
Wrote an informative blog post highlighting the benefits of a healthy diet and providing practical nutrition tips for readers.,Nutrition Science
"Created a robust and efficient REST API for a book database using Node.js and Express, improving data accessibility.",Software Engineering
Develop a fitness tracking mobile app for Android using Kotlin.,Computer Engineering
Design a new company logo and branding materials using Adobe Illustrator.,Graphic Design
Write a blog post about the benefits of a healthy diet and nutrition tips.,Nutrition Science
Create a REST API for a book database using Node.js and Express.,Software Engineering
Conduct a comprehensive analysis of recent changes in employment law and their potential impact on the organization.,Law
Develop a contract management system using Python to streamline the review and approval process.,Software Engineering
Create a legal research database using SQL to facilitate access to relevant case law and legal precedents.,Law
Develop a chatbot using Python and Natural Language Processing to answer common legal questions.,Artificial Intelligence
Analyze the impact of new tax laws on small businesses.,Law
Create a web application to facilitate online dispute resolution.,Web Development
Conduct a survey on public opinion regarding recent changes in criminal law.,Law
Develop a document management system for efficient handling of legal documents.,Software Engineering
Analyze the effectiveness of alternative dispute resolution methods in commercial disputes.,Law
Create a blog discussing recent developments in constitutional law.,Law
Create a mobile app providing easy access to basic legal information.,Computer Science
Analyze the role of corporate law in preventing financial fraud.,Law
Develop a system for automated generation of legal contracts using Python.,Software Engineering
Conduct a study on the legal aspects of mergers and acquisitions in the tech industry.,Law
Develop a machine learning model to automate the process of legal document review.,Computer Science
Conduct a study on the impact of international trade laws on local industries.,Law
Create a mobile app providing easy access to basic legal information.,Computer Science
Analyze the implications of recent court rulings on intellectual property law for tech companies.,Law
Develop a machine learning model to predict the outcomes of cases based on historical data.,Software Engineering
Create a personal portfolio website showcasing legal research papers and case studies.,Law
Conduct a comparative study of data privacy laws in different jurisdictions.,Artificial Intelligence
Develop a chatbot for customer service using Python and Rasa.,E-commerce
Build an e-commerce website for selling handmade crafts using Shopify.,Web Development
